Model,RMSE,MAE,MAPE,RMSPE
LightGBM,632.9118140306961,531.321429256729,3.4176682377021725,4.08194074299059
XGBoost,876.3383210063006,698.9745008680555,4.42385033013232,5.382104485537044
CatBoost,885.6946608024299,752.2892130160744,4.906510181325642,5.76275134144135
H_Naive_Last*0.75+LightGBM*0.25,990.2908894224876,648.8283105888399,3.9616473507951007,5.782367199514833
H_Naive_Last*0.80+LightGBM*0.20,1032.1807231877037,678.6815175256417,4.140713055063303,6.0180035954065945
H_Naive_Last*0.70+CatBoost*0.30,1056.0303967626576,781.2417017972786,4.851021381904306,6.264997659526009
H_Naive_Last*0.65+XGBoost*0.35,1078.0967647611915,773.4386203342018,4.7711428812813255,6.344900480536536
H_Naive_Last*0.75+CatBoost*0.25,1079.0905568131827,786.6238718681024,4.8688756260893555,6.374078961945687
H_Naive_Last*0.70+XGBoost*0.30,1096.0598233848818,779.1667046440975,4.797858260766183,6.436941053592681
Naive_Drift,1105.8306772240562,795.5347222222222,4.921485766599706,6.535932883901278
Naive_Drift_Damped_0.9,1153.7222240418464,813.66723724356,5.007739622696975,6.772104494079071
Naive_Drift_Damped_0.8,1177.8605678627257,819.540416579726,5.02816775073612,6.8893569262543215
Naive_Drift_Damped_0.7,1190.2956561027809,820.3775426990097,5.02311764528646,6.947908127061118
Naive_Drift_Damped_0.5,1201.1557510580947,818.0517510308159,4.997014945094655,6.996362223435224
Naive_Drift_Damped_0.3,1205.678375184351,815.6286537822897,4.97590387604131,7.015455954982844
Naive_Last,1209.066059688144,813.5347222222222,4.958146847014608,7.029701737877324
Naive_Drift_Avg_4,1324.2108920749047,830.2013888888888,4.992092291843219,7.6397376107578365
Naive_Drift_EMA_2,1341.6457601697334,832.5465915075097,4.99686882860936,7.735423289250829
Naive_Drift_EMA_4,1346.4237477556933,833.1829760786245,4.998164970050273,7.7617657796146124
H_Naive_Drift_Avg*0.75+LightGBM*0.25,1420.0690529336193,851.833738035797,5.068697132785305,8.162605815944023
H_Naive_Drift_Avg*0.75+CatBoost*0.25,1487.2711035381697,883.9578653900754,5.258606005704105,8.574418675198233
H_Naive_Drift_Avg*0.70+XGBoost*0.30,1488.2081131785264,873.2616102430542,5.182415634470728,8.576796453566272
H_Naive_Drift_Avg*0.80+LightGBM*0.20,1500.6495875334547,899.090601539749,5.3476663111609195,8.63496669125892
H_Naive_Drift_Avg*0.75+XGBoost*0.25,1543.6529075768738,904.6960991753454,5.365957260959232,8.897722778094872
H_Naive_Drift_Avg*0.80+CatBoost*0.20,1553.5618484629067,909.7899034231715,5.398018894387403,8.956765094201552
H_Naive_Drift_Avg*0.90+Ridge*0.10,1577.108023286469,939.437401556739,5.592563511377485,9.11539799671029
H_Naive_Drift_Avg*0.85+LightGBM*0.15,1582.1676791000798,948.504730297427,5.641715987640177,9.114417034169492
H_Naive_Drift_Avg*0.80+XGBoost*0.20,1599.8748099223872,939.3299329969592,5.571422774758591,9.224994537864873
H_Naive_Drift_Avg*0.85+CatBoost*0.15,1621.244855427382,942.5777057676418,5.584401071012158,9.35032467438594
H_Naive_Drift_Avg*0.85+XGBoost*0.15,1656.7947954630538,980.3628472222184,5.821267840503428,9.557960393459219
Naive_Drift_Avg_2,1831.0883566947684,1123.6180555555554,6.71170800194404,10.585605064389279
Ridge,2116.4432620806374,1903.8655960486112,12.640460627042199,14.252528124175587
